Epoch 257 | Train 0.5217 | Val 0.4679 | LR 0.0001425
Epoch 258 | Train 0.5174 | Val 0.4722 | LR 0.0001416
Epoch 259 | Train 0.5139 | Val 0.4698 | LR 0.0001406
Epoch 260 | Train 0.5107 | Val 0.4624 | LR 0.0001397
Epoch 261 | Train 0.5184 | Val 0.4671 | LR 0.0001388
Epoch 262 | Train 0.5178 | Val 0.4614 | LR 0.0001378
Epoch 263 | Train 0.5160 | Val 0.4572 | LR 0.0001369
Epoch 264 | Train 0.5100 | Val 0.4621 | LR 0.0001359
Epoch 265 | Train 0.5059 | Val 0.4730 | LR 0.0001350
Epoch 266 | Train 0.5082 | Val 0.4582 | LR 0.0001341
Epoch 267 | Train 0.5127 | Val 0.4597 | LR 0.0001331
Epoch 268 | Train 0.5141 | Val 0.4580 | LR 0.0001322
Epoch 269 | Train 0.5139 | Val 0.4605 | LR 0.0001313
Epoch 270 | Train 0.5055 | Val 0.4639 | LR 0.0001303
Epoch 271 | Train 0.5079 | Val 0.4617 | LR 0.0001294
Epoch 272 | Train 0.5119 | Val 0.4710 | LR 0.0001285
Epoch 273 | Train 0.5137 | Val 0.4591 | LR 0.0001275
Epoch 274 | Train 0.5099 | Val 0.4574 | LR 0.0001266
Epoch 275 | Train 0.5038 | Val 0.4629 | LR 0.0001257
Epoch 276 | Train 0.4964 | Val 0.4671 | LR 0.0001247
Epoch 277 | Train 0.5042 | Val 0.4584 | LR 0.0001238
Epoch 278 | Train 0.5044 | Val 0.4695 | LR 0.0001229
Epoch 279 | Train 0.5011 | Val 0.4674 | LR 0.0001220
Epoch 280 | Train 0.5062 | Val 0.4741 | LR 0.0001210
Epoch 281 | Train 0.5016 | Val 0.4649 | LR 0.0001201
Epoch 282 | Train 0.5020 | Val 0.4673 | LR 0.0001192
Epoch 283 | Train 0.5025 | Val 0.4641 | LR 0.0001183
Epoch 284 | Train 0.4965 | Val 0.4642 | LR 0.0001173
Epoch 285 | Train 0.5000 | Val 0.4622 | LR 0.0001164
Epoch 286 | Train 0.5028 | Val 0.4763 | LR 0.0001155
Epoch 287 | Train 0.4993 | Val 0.4719 | LR 0.0001146
Epoch 288 | Train 0.4963 | Val 0.4553 | LR 0.0001137
Epoch 289 | Train 0.4928 | Val 0.4613 | LR 0.0001128
Epoch 290 | Train 0.4976 | Val 0.4624 | LR 0.0001118
Epoch 291 | Train 0.5010 | Val 0.4664 | LR 0.0001109
Epoch 292 | Train 0.4924 | Val 0.4593 | LR 0.0001100
Epoch 293 | Train 0.4900 | Val 0.4652 | LR 0.0001091
Epoch 294 | Train 0.4969 | Val 0.4619 | LR 0.0001082
Epoch 295 | Train 0.4941 | Val 0.4660 | LR 0.0001073
Epoch 296 | Train 0.4921 | Val 0.4652 | LR 0.0001064
Epoch 297 | Train 0.5030 | Val 0.4630 | LR 0.0001055
Epoch 298 | Train 0.4856 | Val 0.4578 | LR 0.0001046
Epoch 299 | Train 0.4909 | Val 0.4697 | LR 0.0001037
Epoch 300 | Train 0.4959 | Val 0.4614 | LR 0.0001028
Epoch 301 | Train 0.4866 | Val 0.4608 | LR 0.0001019
Epoch 302 | Train 0.4921 | Val 0.4639 | LR 0.0001010
Epoch 303 | Train 0.4940 | Val 0.4622 | LR 0.0001001
Epoch 304 | Train 0.4941 | Val 0.4642 | LR 0.0000993
Epoch 305 | Train 0.4860 | Val 0.4619 | LR 0.0000984
Epoch 306 | Train 0.4833 | Val 0.4644 | LR 0.0000975
Epoch 307 | Train 0.4842 | Val 0.4643 | LR 0.0000966
Epoch 308 | Train 0.4818 | Val 0.4673 | LR 0.0000957
Epoch 309 | Train 0.4861 | Val 0.4547 | LR 0.0000948
Epoch 310 | Train 0.4882 | Val 0.4534 | LR 0.0000940
Epoch 311 | Train 0.4806 | Val 0.4612 | LR 0.0000931 | mIoU 0.7015
Epoch 312 | Train 0.4837 | Val 0.4497 | LR 0.0000922 | mIoU 0.7033
Epoch 313 | Train 0.4819 | Val 0.4717 | LR 0.0000914 | mIoU 0.6961
Epoch 314 | Train 0.4902 | Val 0.4578 | LR 0.0000905 | mIoU 0.6867
Epoch 315 | Train 0.4911 | Val 0.4625 | LR 0.0000896 | mIoU 0.6963
Epoch 316 | Train 0.4890 | Val 0.4627 | LR 0.0000888 | mIoU 0.6832
Epoch 317 | Train 0.4787 | Val 0.4665 | LR 0.0000879 | mIoU 0.6940
Epoch 318 | Train 0.4749 | Val 0.4603 | LR 0.0000871 | mIoU 0.6988
Epoch 319 | Train 0.4835 | Val 0.4609 | LR 0.0000862 | mIoU 0.7010
Epoch 320 | Train 0.4731 | Val 0.4660 | LR 0.0000854 | mIoU 0.7024
Epoch 321 | Train 0.4672 | Val 0.4638 | LR 0.0000845 | mIoU 0.6961
Epoch 321 | Train 0.4816 | Val 0.4664 | LR 0.0000845 | mIoU 0.7013
Epoch 322 | Train 0.4811 | Val 0.4678 | LR 0.0000837 | mIoU 0.6936
Epoch 323 | Train 0.4838 | Val 0.4646 | LR 0.0000828 | mIoU 0.6983
Epoch 324 | Train 0.4764 | Val 0.4710 | LR 0.0000820 | mIoU 0.6933
Epoch 325 | Train 0.4838 | Val 0.4609 | LR 0.0000811 | mIoU 0.7046
Epoch 326 | Train 0.4734 | Val 0.4708 | LR 0.0000803 | mIoU 0.6980
Epoch 327 | Train 0.4698 | Val 0.4734 | LR 0.0000795 | mIoU 0.6944
Epoch 328 | Train 0.4774 | Val 0.4660 | LR 0.0000786 | mIoU 0.6927
Epoch 329 | Train 0.4750 | Val 0.4675 | LR 0.0000778 | mIoU 0.6987
Epoch 330 | Train 0.4798 | Val 0.4648 | LR 0.0000770 | mIoU 0.6994
Epoch 331 | Train 0.4785 | Val 0.4734 | LR 0.0000762 | mIoU 0.6951
Epoch 332 | Train 0.4769 | Val 0.4631 | LR 0.0000753 | mIoU 0.7051
Epoch 333 | Train 0.4764 | Val 0.4689 | LR 0.0000745 | mIoU 0.6973
Epoch 334 | Train 0.4767 | Val 0.4620 | LR 0.0000737 | mIoU 0.7032
Epoch 335 | Train 0.4772 | Val 0.4664 | LR 0.0000729 | mIoU 0.6973
Epoch 336 | Train 0.4716 | Val 0.4575 | LR 0.0000721 | mIoU 0.7038
Epoch 337 | Train 0.4698 | Val 0.4611 | LR 0.0000713 | mIoU 0.7017
Epoch 338 | Train 0.4760 | Val 0.4537 | LR 0.0000705 | mIoU 0.7046
Epoch 339 | Train 0.4647 | Val 0.4692 | LR 0.0000697 | mIoU 0.6962
Epoch 340 | Train 0.4652 | Val 0.4686 | LR 0.0000689 | mIoU 0.6981
Epoch 341 | Train 0.4710 | Val 0.4710 | LR 0.0000681 | mIoU 0.7006
Epoch 342 | Train 0.4648 | Val 0.4595 | LR 0.0000673 | mIoU 0.6995
Epoch 343 | Train 0.4698 | Val 0.4638 | LR 0.0000665 | mIoU 0.7041
Epoch 344 | Train 0.4709 | Val 0.4658 | LR 0.0000658 | mIoU 0.7053
Epoch 345 | Train 0.4698 | Val 0.4608 | LR 0.0000650 | mIoU 0.7068
Epoch 346 | Train 0.4727 | Val 0.4546 | LR 0.0000642 | mIoU 0.7084
Epoch 347 | Train 0.4661 | Val 0.4591 | LR 0.0000634 | mIoU 0.7024
Epoch 348 | Train 0.4648 | Val 0.4591 | LR 0.0000627 | mIoU 0.7072
Epoch 349 | Train 0.4742 | Val 0.4676 | LR 0.0000619 | mIoU 0.7053
Epoch 350 | Train 0.4653 | Val 0.4632 | LR 0.0000612 | mIoU 0.7057
Epoch 351 | Train 0.4673 | Val 0.4615 | LR 0.0000604 | mIoU 0.7075
Epoch 352 | Train 0.4614 | Val 0.4653 | LR 0.0000596 | mIoU 0.7063
Epoch 353 | Train 0.4694 | Val 0.4623 | LR 0.0000589 | mIoU 0.7076
Epoch 354 | Train 0.4630 | Val 0.4582 | LR 0.0000581 | mIoU 0.7042
Epoch 355 | Train 0.4602 | Val 0.4590 | LR 0.0000574 | mIoU 0.7120
Epoch 356 | Train 0.4658 | Val 0.4619 | LR 0.0000567 | mIoU 0.7046
Epoch 357 | Train 0.4590 | Val 0.4630 | LR 0.0000559 | mIoU 0.7104
Epoch 358 | Train 0.4637 | Val 0.4579 | LR 0.0000552 | mIoU 0.7113
Epoch 359 | Train 0.4669 | Val 0.4570 | LR 0.0000545 | mIoU 0.7093
